Adipocytes,Astrocytes,B-cells,CD4+ T-cells,CD8+ T-cells,Chondrocytes,DC,Endothelial cells,Eosinophils,Epithelial cells,Erythrocytes,Fibroblasts,HSC,Keratinocytes,Macrophages,Melanocytes,Mesangial cells,Monocytes,Myocytes,Neurons,Neutrophils,NK cells,Pericytes,Skeletal muscle,Smooth muscle
TUSC5,FGG,FCRL5,CTLA4,CD8B,ANGPTL5,BCL2L14,SOX18,PRSS33,AGR2,TSPO2,C7,MPL,MRGPRX3,ATP6V0D2,TYR,NKAIN4,CD300E,MYF5,STMN4,MIR1248,FASLG,MAEL,NT5C1A,IL13RA2
PCK1,SYTL5,MIR650,ICOS,CD8A,BARX1,HMSD,PCDH12,ENTPD2,S100A14,HBZ,ADAM33,CRYGD,HEPHL1,TM4SF19-TCTEX1D2,SOX10,UGT2B7,ASGR2,TNNT2,SCG3,CXCR1,DTHD1,IL24,ART1,SNORA57
ADIPOQ,LINC00460,PAX5,FAM153A,KLRC4,ACAN,CCL17,TNFSF18,SIGLEC8,CLDN4,PKLR,BMPER,IGLL1,CALML3,HAMP,SLC24A5,HNF1B,CD1C,ASB5,GABRG2,ASPRV1,LGR6,STRA6,FBP2,SNORA62
LEP,PAX6,FCRL2,SIRPG,KLRC4-KLRK1,SCRG1,CD1B,FLT4,CACNA1D,GJB3,RHD,CD248,PRSS57,IRX4,CCL22,MLANA,MMP24,SLC24A4,MYOG,GDAP1L1,BTNL8,KLRC2,GATA4,PPP1R3A,CDH6
AQP7,SEMA3E,POU2AF1,CD28,GZMK,PCSK1,MMP12,TM4SF18,MFSD6L,KRT14,GYPA,OSR1,SPINK2,XDH,TREM2,SLC45A2,LRRN4,LGALS2,ACTC1,PCSK2,FAM157A,NMUR1,TRPA1,C8orf22,COL14A1
AZGP1,PLN,TNFRSF13C,CD5,THEMIS,SMOC2,TMPRSS13,SHE,RNF103-CHMP3,C1orf106,UCA1,SVEP1,CRHBP,PNLIPRP3,SLAMF8,OCA2,CLDN6,ZEB2-AS1,CHRNA1,GNG13,TRPM6,PTGDR,ACTG2,KLHL38,HEPH
TMEM132C,DIRAS3,CD19,THEMIS,KLRK1,KCNH1,CCL13,ANO2,MIRLET7G,KRT16,RHCE,PLAC9,CLDN10,FGFBP1,SDS,ABCB5,DCDC2,CCL20,HAS1,DPP6,CD177,KLRC3,PITX2,C10orf71,MIR100HG
PLA2G2A,ACTG2,MEF2B,UBASH3A,SIRPG,KIAA1644,CLEC4G,CXorf36,MIR505,PKP3,SLC25A21,CREB3L1,DPPA4,EPN3,TM4SF19,DCT,HOXB9,CCR2,TNNI1,RGS8,MAK,FCRL6,PITX1,DHRS7C,TMEM200A
PLIN1,PODNL1,TNFRSF17,CD6,GZMM,PENK,CCL19,ECSCR,MIR374A,MAL2,GYPB,PODN,FLT3,DLK2,APOC2,LINC00518,LHX1,LIPN,SCUBE3,GAD2,SLC26A8,KLRC1,MMP3,NRAP,PTGIS
SLC19A3,PPP2R2B,IGLL5,BCL11B,GZMA,COMP,CD1E,DLL4,MIR223,KRT6A,KLF1,SLIT3,PROM1,KRT6B,ADAMDEC1,C10orf90,WNT7B,CLEC10A,SGCA,ABCC12,NLRP6,XCL2,FOXF1,SMTNL1,SLC14A1
CIDEC,CACNA1H,CLEC17A,FAM153B,CD3G,HAPLN1,RUFY4,APLN,MIR26B,ITGB6,EPB42,PCDH18,C6orf25,ARTN,SLC6A12,TRPM1,FOXC2,TUBB1,CASQ2,GABRA6,C19orf35,SH2D1B,BDKRB1,ASB11,HAS2
CIDEA,OXTR,KLHL14,CD3G,PRF1,OMD,SLCO5A1,BCL6B,SMPD3,KRT17,HBM,ISLR,KIAA0125,KRT14,SLAMF9,ALX1,CD70,NRGN,MYL1,FAM135B,SLC22A1,CD160,MASP1,MYBPC2,IL33
CD300LG,SAMD11,BLK,CD40LG,CD5,SMOC1,ALOX15,HSD17B2,MIRLET7I,KRT5,GYPE,TMEM119,SPNS3,TNS4,FPR3,IGSF11,GLIS2,CD1D,MYH3,KLHL1,CASP5,TBX21,IL11,DDN,PAMR1
CALB2,APCDD1L,VPREB3,ITK,CD28,NDNF,CD80,CDH5,PTGDR2,CDH3,HBE1,TWIST2,CPA3,LGALS7B,C11orf45,TYRP1,CRB3,CD300C,TNNC1,SLC35F4,CMTM2,EOMES,VAT1L,RPL3L,TBX2
CYP4B1,CNN1,TCL1A,TRAT1,SNORA11D,FGF1,EBI3,KANK3,IL5RA,EHF,C17orf99,PAMR1,MZB1,FAT2,CCR5,GREB1,HKDC1,TPPP3,NPTX2,NRSN1,FCGR3B,KLRD1,HAND2,CSRP3,FGF7
PRG4,CLSTN2,BHLHA15,CD3D,SNORA11E,PRG4,MUCL1,ANGPT2,ALOX15,LAD1,AHSP,CCBE1,MLC1,KLK5,PLA2G7,BCAN,PAX8,GPR84,SFRP4,CNTNAP5,PGLYRP1,LINC00299,BDKRB2,MB,SNORA59B
ACVR1C,DIO2,MS4A1,CD247,ICOS,PITX1,CCL18,SHROOM4,C19orf71,AP1M2,SLC4A1,CXCL12,SLC22A16,MIR205HG,APOC4-APOC2,PMEL,GRB14,CCL3L3,KCNE4,HTR5A,CYP4F3,KLRC4,ADAMTS12,SYNPO2L,ADAM33
PRELP,HOXB-AS3,CR2,PVRIG,UBASH3A,SOX5,LAMP3,KDR,MIR1306,SFN,RHAG,PCOLCE,CTSW,ZBED2,SNORD104,TSPAN10,HOXA3,SCIMP,NEB,SLC5A11,IL18RAP,KLRF1,PAPPA,HFE2,SOD3
BTNL9,COL22A1,CXCR5,CD2,IL2RB,OGN,UBD,NOS3,MIR191,ELF3,ST6GALNAC1,SOD3,GFI1B,SERPINB5,KMO,ATP10B,CLDN4,CD86,SYNPO2,CAMK2N2,KCNK7,GZMH,BDNF,MYH6,COL15A1
RBP4,SFRP4,SPIB,FAM159A,CD6,GDF6,DNASE1L3,ROBO4,GIPR,LAMC2,KRT13,GLT8D2,HPGDS,CLCA2,MARCO,KCNJ13,ATRNL1,GPR35,HAS2,CACNG2,LRRC4,PDZD4,TMEM200A,DUSP27,ABCA8
MLXIPL,CPA4,PNOC,GZMM,CD3D,PLCE1,TNFRSF4,RELN,HRH4,IRF6,ANKLE1,ADAMTS2,STAP1,GJB5,C1QC,MGAT5B,CLSTN2,HCAR3,DES,CA7,REM2,LGALS9C,STC1,MYL2,TNFRSF11B
CILP,PTPRN,RGS13,SIT1,NELL2,CP,CRLF2,RASIP1,CACNG6,S100A2,ALAS2,VGLL3,MPO,SOX15,MSR1,PAX3,FOXD1,HCAR2,NCAM1,PLEKHD1,PI3,S1PR5,CLDN1,MYBPC1,TWIST1
ITIH5,SLC12A8,FCRLA,SLFN12L,BCL11B,FGFR2,IDO1,ESM1,OLIG2,CLDN1,KEL,GAS1,MYB,SPRR1B,LILRB4,LINC00473,GPR143,S100A12,HSPB2-C11orf52,ST8SIA3,CXCR2,KLRC4-KLRK1,ARSI,AMPD1,ARHGEF25
AOC3,PNMAL1,EML6,NELL2,SIT1,SLC2A12,C17orf96,CLEC14A,LINC00299,TACSTD2,AMHR2,PRRX1,C20orf96,GYLTL1B,TPRG1,EFR3B,C1orf106,OASL,COL11A1,CNTN2,CA4,NCR1,FIBIN,MYF6,GALNT5
DPT,GDF5,SNX22,CD3E,PVRIG,TBX15,CCL22,CLDN5,CNR2,FAM83H,HBG1,MRGPRF,ACRBP,TP63,SLCO2B1,PLP1,DOC2B,MTMR11,MYL4,CDR1,KRT23,TIGIT,HSD17B2,SRL,GPC6
PPP1R1A,APLP1,FCRL1,CD27,KLRB1,SIX1,BATF3,RHOJ,BEGAIN,COL17A1,KCNH2,SEMA5A,HEMGN,CBLC,PTPRO,SHC4,CELSR2,EREG,NDUFA4L2,C11orf87,MGAM,GZMB,TMEM158,IDI2,ITGBL1
KCNIP2,VAT1L,HLA-DOB,CAMK4,CD2,ADAMTS5,CCL23,HHIP,SLC16A14,CDH1,ITLN1,CLEC3B,BAALC,S100A14,RAB42,ABCC2,LYPD1,CES1,CRLF1,HAPLN4,ROPN1L,PRF1,LIF,CASQ1,THBS2
CXCL14,MXRA5,CD79A,SLAMF1,SH2D1A,WISP1,MCOLN2,KLHL4,MIR7-1,ITGB4,HBQ1,FGF7,GTSF1,DSG3,EGR2,CA14,SHISA2,TNF,PPFIA4,SKOR1,KIAA1324,IL2RB,IGF2BP1,TRDN,PAPPA
ITLN1,FOXD1,FAM129C,ZAP70,CD27,GDF5,TNFRSF11A,NOX4,PNMA6A,LAMA3,SNX22,ITGA11,DICER1-AS1,CKMT1B,GPR34,LZTS1,CDH6,LILRA1,MYLPF,SHISA6,CEACAM3,FCRL3,PALM2-AKAP2,SYPL2,ADH1B
GHR,B4GALNT4,FCRL3,SH2D1A,CD3E,CACNB4,SLAMF1,PTPRB,IL34,C19orf33,SPTA1,TWIST1,KIT,FXYD3,C1QA,STK32A,ELF3,NOD2,ITGA7,RIPPLY2,MMP25,CD8A,SCARNA16,MYH1,HMCN1
ALDH1L1,PKIB,CPNE5,TCF7,FGFBP2,GLDN,CD209,MMRN2,IDO1,IGSF3,MYL4,HSPB6,MS4A3,FAM83F,C1QB,PLEKHH1,LAD1,VSTM1,PALM2-AKAP2,ARHGEF33,ARG1,GZMA,TBX2,SMYD1,SNURF
PTGER3,PTN,DTX1,MAL,ITK,SIX2,EHF,SOX17,HRASLS5,CLDN7,XK,FIBIN,PRSS21,FGFR3,GPC4,PLA1A,MAL2,FCN1,LIF,ATXN8OS,VNN3,FGFBP2,IL1A,LDB3,GLT8D2
MAOB,MMP23B,TLR10,IKZF3,GPR171,MXRA5,CD1C,JAG2,CYP4F12,DSP,CR1L,PTGIS,S100Z,KRT5,TMEM150B,TRIM63,CLDN1,APOBEC3A,LRRC17,CLEC2L,OLFM4,CX3CR1,MMP16,UNC45B,HSPB6
MT1A,LMOD1,DERL3,GPRASP1,CD247,LNX1,IZUMO4,PREX2,MIR374B,DMKN,FAM83A,VASN,C1orf186,KLC3,SLC37A2,RAB17,FXYD2,TREM1,MFAP5,PCDHA13,ANKRD22,GNLY,IL6,CACNA1S,FIBIN
AGTR1,LYPD1,AIM2,KCNA3,IKZF3,ECM2,SYT17,VWF,CCR3,KIAA1522,FAM178B,MEIS3,HBD,FAM83A,SLAMF7,GPR143,AP1M2,CD101,LOXL4,ATP2B2,LINC00282,KLRK1,HS3ST3A1,CHRND,PPP1R3C
SAA1,PDE1C,BANK1,GPR171,ZAP70,CPXM2,CYP7B1,FGD5,OLIG1,KRT7,HBD,PDGFRA,PDE6G,CKMT1A,LPL,SYT14,WWC1,CCL3,ANKRD1,PSD2,CRISP3,NCR3,WNT5A,CACNG1,PCDH18
GYG2,LINC00511,BLNK,GPR174,CD7,BMPER,IL2RA,BMX,PTTG2,PMEPA1,PCYT1B,MOXD1,GUCY1A3,GPR87,CD300C,FCRLA,CNN1,NLRP3,TGFB2,PCP4,EPHB1,AKAP5,GREM1,MYH7,CA12
EGFLAM,MIR31HG,SIT1,CD7,SLFN12L,CPA4,LY75-CD302,TSPAN18,PIK3R6,EPS8L1,RFESD,SH2D4A,ATP6V1G2-DDX39B,TRIM29,FBP1,ERBB3,C19orf33,MEFV,GALNT5,SULT4A1,PHOSPHO1,PPP2R2B,BNC1,XIRP1,LOXL4
SAA2,COL11A1,CD180,BACH2,SAMD3,FOXC1,FCER2,TEK,BAIAP3,MDFI,CA1,LOXL4,TMEM220,GJB3,MS4A4A,GNAL,HS3ST3A1,MPEG1,PAPPA,STX19,TLR10,KLRB1,PKIB,ACTN2,MEIS3
GPD1,TUBB2B,CD22,PLXDC1,TRAT1,PIEZO2,LYPD3,EMCN,UPK3B,COL7A1,TFR2,THY1,TEC,KRT6A,C2,CHL1,FOXP4,FCAR,TNFRSF11B,PHYHIPL,ALPL,GZMM,SLC12A8,LMOD2,LRRC17
IGF1,ADAM12,IKZF3,CCR7,CAMK4,PTGFR,SFRP4,NOTCH4,CHST13,KRT19,ADD2,FBLN5,CD244,NGFR,BHLHE41,TUBB4A,CADM4,PF4,ITGBL1,GRM1,IL1R2,TNFRSF18,GPR1,CKM,SULF1
LMO3,CDH6,CD27,LCK,PYHIN1,FAM180A,AIM2,PIEZO2,ZBTB42,LSR,E2F8,OLFML3,FCER1A,PKP1,CD86,ROBO2,OLFML2A,CLEC4D,ADAMTS12,RALYL,FFAR2,ZNF831,FAM65C,ACTA1,PDGFRA
APCDD1,ARSI,E2F5,PYHIN1,LCK,SPTLC3,IL4I1,BMP6,FGFR2,CD24,GATA1,MXRA8,CPXM1,FAM110C,COL8A2,TFAP2A,PDZK1IP1,CD300LB,AQP1,PRKCG,FBXL13,LAIR2,TNFRSF11B,MYH2,ISLR
SCARA5,RARRES2,GNG7,PLEKHB1,GPR174,MMP3,,RAPGEF5,KCNK7,DSG2,IL9R,LUM,CD34,PRSS8,CHIT1,L1CAM,F2RL2,FGD2,CCBE1,KCNC1,MEFV,TKTL1,TBX3,ABRA,PDZRN3
PLVAP,SHROOM3,HLA-DQA2,AXIN2,TCF7,COL11A1,,PCDH1,PANX2,KRT8,GFI1B,SNAI2,RAB33A,PTHLH,VSIG4,KCNIP3,MMP7,LY86,GREM1,GRIA2,GLT1D1,CCDC65,E2F7,COX6A2,LAMA2
FMO2,NFASC,MZB1,ADTRP,PLXDC1,KCNE4,,MMRN1,ZFPM1,LAMB3,NUP62CL,PAPPA,CDCA7,PTPRZ1,MMP7,CYSLTR2,TUBB2B,LILRB1,PPP1R3C,GABRA1,ORM1,PVRIG,ITGA11,HRC,GREM1
ADH1B,CRLF1,TTC21A,RASGRP1,CRTAM,SFRP4,,C1orf115,TRPM6,CELSR1,GAD1,PDGFRB,ACSM3,HAS3,ADAP2,RIPK4,CPNE7,OLR1,IGF2,KCNJ3,FAM157B,SH2D2A,,FAM166B,ADAMTS2
PLIN4,HS3ST3A1,P2RX5,LEF1,CD96,NFASC,,ANKRD1,CEBPE,SDC1,PRG2,COL3A1,ERG,CSF2,MRC1,CDH3,RAB3B,TMEM176A,DMD,MT3,NSUN7,CAPN12,,PRKAG3,SFRP1
RAMP3,SEZ6L2,SLAMF6,ANO9,PLCXD2,SGCD,,PGF,IL9R,LIPG,HBG2,ELN,HOPX,C1orf116,C15orf48,LINC00520,MMP23B,CCL4,DAAM2,GRIN1,PROK2,CD247,,ART3,CRLF1
C7,MN1,SNORA11D,CCDC141,RASGRP1,VCAM1,,EDN1,DEFA4,STAP2,ANKRD18B,PDZRN3,ZP3,KLK8,JAKMIP2,GYG2,KIAA1522,PPBP,SLC1A1,GPR37L1,F5,COLQ,,MYOT,FAP
KLF15,GALNT5,SNORA11E,SAMD3,KCNA3,CMKLR1,,NRN1,P2RY14,PLEK2,TRIM58,FBLN1,CYTL1,PKP3,APOC1,MCF2L,DNM1,OSM,H19,SLC6A1,FPR2,PYHIN1,,ATP2A1,PCOLCE2
WISP2,ITGA11,PKHD1L1,FLT3LG,BACH2,BVES,,PODXL,POLR2J2,HES4,APOL4,COL1A1,ICAM4,ELMO3,MATK,FMN1,CCDC74A,LILRB4,PDLIM3,ASTN1,FUT7,SAMD3,,MYL1,PRRX1
ATP1A2,ADAMTS12,CD72,CD96,GPRASP1,ITGA11,,TSPAN12,HSPA1L,PPL,ANK1,ADH1B,CD79B,KRT16,SLC29A3,COL11A1,GFRA1,F13A1,CXCL6,FABP6,P2RY13,CD7,,SLN,CD248
TIMP4,FZD7,IRF4,TXK,GRAP2,GPR1,,ABCA3,OXER1,SPTBN2,HEMGN,DCN,NFE2,ANO1,TMEM176A,S100B,PMEPA1,IL15,PAMR1,SEZ6L,NTNG2,B3GNT7,,LMOD3,CREB3L1
MT1M,LRRC17,ZBP1,SKAP1,1-Sep,MYBL1,,PLEKHG1,CCL23,CARD10,HMGN5,THBS2,NPR3,RAB25,ST14,SGCD,FHOD3,LILRA5,ABI3BP,SYT2,PLIN5,CLIC3,,BEST3,LUM
NOVA1,SLC14A1,LY9,VIPR1,LY9,NRN1,,PDGFB,C19orf35,RHOD,EPCAM,B3GNT9,CD200,TAGLN3,GPAT2,LINC00511,CHRDL1,1-Mar,ELN,GRID2,APOBEC3A,SLFN12L,,TRIM72,IGFBP5
APOD,RARB,SLC15A2,ZC3H12D,SKAP1,ABI3BP,,FAM69B,ANKRD18A,SEMA3F,XRCC2,WNT5A,HBG2,FAM83B,HAVCR2,LAMA1,VWA1,MAFB,ITGA11,SLC24A2,HCAR2,NCAM1,,MYOM3,ADAMTSL1
GPC3,MMP11,PLD4,RNF157,CCR7,COL15A1,,PALMD,TRPC6,SPINT1,TEX9,LAMA2,BCL11A,PCSK9,CD163,GPM6B,FZD2,RETN,RGS4,RIIAD1,DEFA3,IKZF3,,SRPK3,MOXD1
RAMP2,CDH3,CD79B,1-Sep,LEF1,PPFIA4,,TIE1,KCNH2,PTPRU,TUBB1,GREM1,CD69,SH2D5,TMEM176B,HR,LIF,RNASE2,P4HA3,SYCE3,GPR27,MYBL1,,TCAP,PCDH7
SORBS1,COL14A1,1-Sep,P2RY10,SLAMF6,NEK10,,SORBS2,LGALS12,PCDH1,C16orf95,COL1A2,BEX2,S100A2,ACP5,MOCOS,CPA4,TMEM176B,CAP2,CTNND2,LRG1,PLCH2,,PGAM2,TMEM119
ECM2,MFAP5,RIC3,GRAP2,ANO9,SCN8A,,PDE2A,TMEM86B,TNFRSF6B,PIP5K1B,GFPT2,RHOH,IL20RB,MMP9,NLGN1,MLPH,FCGR2C,VGLL3,SNAP91,FAM41C,ZAP70,,DUSP26,TMEM158
SEMA3G,GXYLT2,KIAA0125,LY9,SCML4,ID4,,THSD1,ABTB2,PERP,ITGA2B,ITGBL1,FAM124B,WNT7A,SPP1,NOV,TGFB2,CLEC5A,GXYLT2,HCN1,AATK,SH2D1A,,MAFA,COL3A1
CDO1,MDFI,LAX1,SCML4,FLT3LG,ELN,,SULT1C4,SPNS3,EFNB2,CCDC169,DSEL,RAB37,COL17A1,FLVCR2,BVES,SFN,KYNU,ALPL,TTYH1,DEFA1B,SNORA36C,,MYOZ2,ADAM12
SPARCL1,KCNG1,PTPRCAP,IL7R,CCDC141,NDUFA4L2,,MYCT1,ASB2,TGFA,TPSB2,FBLN2,KLRG1,KRT17,CD22,RTP4,CLIC3,SERPINB2,STC1,SLC32A1,CCR3,MMP23B,,TRIM63,MRGPRF
LIPE,HEPH,CARD11,TC2N,IL7R,ENPP1,,BMP4,DEFA1B,EGFR,E2F2,COL16A1,PTPRCAP,GJB6,LILRB1,EDNRB,MMP15,MS4A6A,MFAP3L,GALNT8,STEAP4,SNORA11D,,PEBP4,CXCL12
CHRDL1,PTGIS,ANO9,SPOCK2,SLA2,BDKRB2,,TNFAIP8L3,CCDC17,TMEM54,SPC25,LOXL1,CD38,ANXA8L1,KCNE1,CDH1,MMP11,MS4A7,NTM,DAO,HCAR3,SNORA11E,,TNNC2,SVEP1
ADAMTS5,HOXB2,FGD2,SIDT1,CARD11,WISP2,,CARD10,DEFA1,DDR1,ST8SIA6,C1S,SUPT3H,ESRP1,SIGLEC7,SEMA6A,ZNF503,LILRB2,WNT5A,SH3GL2,NLRP12,IL12RB2,,CA3,EDIL3
PDZD2,MLPH,FAM46C,NLRC3,CCL5,LUM,,CNTNAP3B,,GPRC5A,CA8,COL6A3,HOXA9,NIPAL4,IGSF6,SLC6A15,TNFRSF6B,RBP7,ADAMTS2,NPPC,LIPN,IL18RAP,,CHRNG,OLFML3
ANGPTL1,COL13A1,ZC3H12D,CARD11,TXK,GPC6,,C1QTNF5,,TUFT1,MND1,MFAP4,PLAC8,CYP27B1,MREG,COL5A3,ADAMTS7,SERPINA1,EDIL3,ADCYAP1,TMEM56,ITK,,CDH15,COL6A3
SPON1,CADM1,HLA-DOA,SLAMF6,SPOCK2,ISLR,,SEMA6B,,TMEM132A,TPSAB1,BGN,TRO,CSF3,1-Mar,PDE3A,PPP1R14A,VNN3,SULF1,ABCC8,S100A12,CCL5,,TNNI1,GEM
RASD1,MEIS3,KCNA3,TMIGD2,NLRC3,NEBL,,KIAA1462,,EPHA2,ART4,DDR2,FHIT,KRT15,NLRC4,BAMBI,SULT1C4,CD163,STC2,OPCML,CLEC4D,MYOM2,,ANKRD2,TWIST2
FOLR2,DES,PRDM15,CD226,MAL,EDIL3,,ADAMTS9,,AJUBA,OSBP2,FAP,NRM,PLCH2,SLC1A3,SEMA6D,BNC1,CLEC4A,TMEM200A,TRPC3,SIGLEC5,SLAMF6,,KLHL30,MEG8
LYVE1,CHRDL1,TMEM156,EPHX2,CD226,ARHGAP28,,ESAM,,SLPI,HBA1,CCDC80,EAF2,TSPAN1,HSD11B1,SLC16A6,LSR,S100Z,ANGPTL4,CLVS1,KCNJ15,YPEL1,,TMOD4,VASN
LRRN4CL,VWA1,PLEKHG1,SH2D3A,IL21R,SULF1,,KIAA1671,,TOM1L1,MUC1,ADAM12,HYAL3,SFN,MFSD7,TMEM229B,CPXM1,ZNF385A,TTN,TCEAL6,TREM1,CD2,,SCN4A,MATN2
C1QC,COL8A2,PARP15,MAN1C1,P2RY10,KLHL13,,ACE,,TPD52L1,CDH1,CLMP,FAM212A,LPAR3,KYNU,MLPH,PHLDA2,NLRP12,LAMA2,SV2C,TREML2,TMEM229B,,KCNJ11,SLC16A4
HSPB7,GATA6,GRAPL,AQP3,DEFA1B,NEGR1,,CFI,,ALDH1A3,HBA2,MFAP5,TSPAN2,DSC3,MMP19,IGSF3,SLIT3,FPR1,PLAT,SLC6A17,CEACAM8,LCK,,SMTNL2,DDR2
ABCA9,EDIL3,C1orf186,GIMAP1,SIDT1,CCBE1,,EFNB2,,RAC3,HDC,POSTN,NKG7,ANXA8,MS4A7,IRF4,VCAM1,FOLR3,FAP,CACNA1G,HSPA6,TXK,,XIRP2,COL1A2
ABCC9,FZD2,STAP1,TNFRSF25,TC2N,IGFBP3,,FZD4,,FAM84B,CHAF1B,TNXB,PDE6B,S1PR5,CDH23,TNFRSF19,GALNT14,SLC11A1,AOX1,SLITRK2,TCN1,BCL11B,,CMYA5,CCDC80
NPR1,KIAA1522,IL21R,GRAPL,CHI3L2,KAZALD1,,FAM124B,,AMIGO2,YPEL4,PPP1R3C,C1orf228,C1orf106,TNFSF14,TUBB2B,SEZ6L2,CLEC7A,MEIS3,FSTL4,HCG27,NCALD,,TMEM233,C1S
CLEC3B,CCDC74A,EBF1,IL21R,RNU5D-1,COL14A1,,TMEM88,,TNC,TMEM56,ARL4D,LRRC70,FERMT1,OLR1,ST8SIA6,SHROOM3,DEFA3,GFPT2,SLC4A10,LTF,GNGT2,,MYO18B,PLAT
C1QB,CFI,LILRB1,PARP15,PTPRCAP,POPDC3,,PEAR1,,TRNP1,HPGDS,ALDH1L2,GAPT,IRX2,GPRIN3,HES6,TEAD3,CSF1R,TNNT1,GABRB3,DEFA1,SLA2,,IP6K3,FBLN2
AQP1,NTM,SP140,TTN,LIME1,STS,,DCHS1,,MPZL2,CHAC2,SCARF2,ANGPT1,LAD1,CCR1,EGFL8,LAMC2,ACPP,DSEL,GRM7,CCNJL,CD226,,MYOG,FBLN1
RARRES2,NAP1L3,JSRP1,PRKCQ,NCALD,SIX4,,FAT4,,FAM83G,MCM10,MAGED4,HSH2D,CDH3,APOE,CXCL5,KRT8,PID1,CACNA2D1,CTNNA2,DEFA4,GPR174,,TNNC1,COL16A1
PODN,P4HA3,LINC00426,GIMAP5,TMIGD2,FMOD,,LDB2,,PACSIN3,RAD54L,ANTXR1,HENMT1,IL1A,LY86,4-Sep,KCNG1,CHN2,PRUNE2,GPR63,CAMP,TMIGD2,,CLIC5,STC1
SVEP1,PCDH7,P2RY10,PLCL1,DEFA1,PDE1A,,TAL1,,FSTL3,CERKL,COL5A1,MEIS1,TFAP2A,CRABP2,DUSP4,ALPK2,CLEC4E,HSPB8,RGS7,CMTM1,MLC1,,ASB5,PDE5A
FMOD,POSTN,SIDT1,STAT4,AQP3,FHOD3,,RNF152,,FAT1,HBB,TNFRSF11B,RGL4,IRX1,CD300LB,ATP10A,GPRC5C,CLEC12A,CCDC80,GNAO1,MMP8,CMKLR1,,ADPRHL1,DSEL
PPP1R14A,BGN,ADAM28,BCL2,PARP15,KAZN,,PLXNA2,,CDCP1,CKAP2L,AOX1,SYNGR1,ITGB4,FGD2,APOD,CELSR1,CFP,SCARNA16,KCNA2,SLCO4C1,NLRC3,,MYH8,PDGFRB
VSIG4,THY1,SLAMF7,IPCEF1,S100B,ADAM12,,FAM43A,,TPBG,ORC1,FST,MAP4K1,AP1M2,HK3,POPDC3,LRRC20,FFAR2,FGF2,ASPDH,AFF2,SKAP1,,HHATL,B3GNT9
TNXB,WNT5A,MAP4K1,LIME1,STAT4,PRRX1,,GIMAP8,,PTPRF,PF4,C1QTNF1,SLC39A4,SAA1,FABP4,AIF1L,IGF2,HLA-DQB1,RGS5,GRIK1,GDPD3,NKG7,,PPP1R27,MXRA8
SOD3,RGS4,TPD52,LTB,PRKCQ,OSR1,,GRAP,,EPHB2,TAL1,CDH11,C8orf44,GJB2,A2M,SORBS1,RRAD,C5AR1,CRYAB,IGSF21,HAL,LAX1,,NEB,STC2
LPL,GFPT2,COBLL1,ITGB7,GIMAP1,TWIST1,,NTN4,,KRT18,DNAJC6,SFRP1,IL3RA,FLRT3,CHI3L1,CDON,CD24,FCER1A,ABCA8,KCNIP4,SIRPD,CCL4,,MYL3,RGS4
C11orf96,LOXL4,FCGR2B,PTPRCAP,KLRG1,TGFB3,,CALCRL,,TINAGL1,C6orf25,TRNP1,AMT,WDR66,CCL3,C11orf96,CARD10,NR4A2,COL8A1,NELL1,VNN1,PLCXD2,,FITM1,CDH11
AOX1,RGS5,POU2F2,CXorf65,PASK,WNT5A,,SEMA3F,,PLXNB1,CCDC34,BICC1,AREG,CNTN1,HSD17B14,DAAM2,,GLT1D1,INHBA,CDH12,HRH2,CD6,,MURC,LURAP1L
ITGA7,SPEG,CD38,FHIT,SNORA36A,GALNT5,,SPNS2,,FBLIM1,NMNAT3,SULF1,KIF9,DLL1,CSF1R,BBS5,,DEFA1,DKK1,SYT4,GHRL,CARD11,,CAV3,CLMP
